date,start_time,stop_time,algae_id,species,sample_id,file_id_csv,light_dark,run_block,blank,chamber_channel,light_level,light_value
2026-02-03,12:28,12:43,GS01T,gs,GS01T_TPI,GS01T_TPI_RUN2_O2.csv,light,run2,0,11,2,98
2026-02-03,12:28,12:43,AS02T,as,AS02T_TPI,AS02T_TPI_RUN2_O2.csv,light,run2,0,12,2,98
2026-02-03,12:45,13:00,AS01T,as,AS01T_TPI,AS01T_TPI_RUN2_O2.csv,light,run2,0,1,3,202
2026-02-03,12:45,13:00,CS04T,cs,CS04T_TPI,CS04T_TPI_RUN2_O2.csv,light,run2,0,2,3,202
2026-02-03,12:45,13:00,DA03T,da,DA03T_TPI,DA03T_TPI_RUN2_O2.csv,light,run2,0,3,3,202
2026-02-03,12:45,13:00,SF03T,sf,SF03T_TPI,SF03T_TPI_RUN2_O2.csv,light,run2,0,4,3,202
2026-02-03,12:45,13:00,BLANKAT01_RUN2,blank,BLANKAT01_TPI_RUN2,BLANKAT01_TPI_RUN2_O2.csv,light,run2,1,5,3,202
2026-02-03,12:45,13:00,AV01T,av,AV01T_TPI,AV01T_TPI_RUN2_O2.csv,light,run2,0,6,3,202
2026-02-03,12:45,13:00,SF04T,sf,SF04T_TPI,SF04T_TPI_RUN2_O2.csv,light,run2,0,7,3,202
2026-02-03,12:45,13:00,CS01T,cs,CS01T_TPI,CS01T_TPI_RUN2_O2.csv,light,run2,0,8,3,202
2026-02-03,12:45,13:00,BLANKAT02_RUN2,blank,BLANKAT02_TPI_RUN2,BLANKAT02_TPI_RUN2_O2.csv,light,run2,1,9,3,202
2026-02-03,12:45,13:00,AV04T,av,AV04T_TPI,AV04T_TPI_RUN2_O2.csv,light,run2,0,10,3,202
2026-02-03,12:45,13:00,GS01T,gs,GS01T_TPI,GS01T_TPI_RUN2_O2.csv,light,run2,0,11,3,202
2026-02-03,12:45,13:00,AS02T,as,AS02T_TPI,AS02T_TPI_RUN2_O2.csv,light,run2,0,12,3,202
2026-02-03,13:03,13:18,AS01T,as,AS01T_TPI,AS01T_TPI_RUN2_O2.csv,light,run2,0,1,4,298
2026-02-03,13:03,13:18,CS04T,cs,CS04T_TPI,CS04T_TPI_RUN2_O2.csv,light,run2,0,2,4,298
